id;address_1;address_2;city;postcode;country
1;models c Versatile;Frozen Rubber line;Loïcbury;Sports wit;Sl
2;b Cambridgeshire end-to-end;web-readiness copy;Camilleshire;purple Cre;Au
3;Table invoice;Berkshire Analyste du;Fontainehaven;policy;Ki
4;Pizza;interactive;Denisview;orchid Leo;Ré
5;Sausages ubiquitous Avon;Account Assimilated optical;East Noémieport;USB;Ré
6;de quantifying object-oriented;azure optical Fresh;Lainemouth;blue invoi;Sa
7;relationships deposit clicks-and-mortar;out-of-the-box payment calculating;Fabrestad;boliviano;Af
8;b;Architecte;West Athanasiefurt;Account;Ni
9;a Pound;firewall;East Marius;Grass-root;Na
10;Computer;open-source Île-de-France;West Althée;compressin;Ét
